datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:BANPU,12.5,12.5,12.3,12.4,47449837.0
2023-01-17 09:00:00,SET:BANPU,12.4,12.4,12.2,12.4,49432995.0
2023-01-18 09:00:00,SET:BANPU,12.4,12.5,12.2,12.4,68819770.0
2023-01-19 09:00:00,SET:BANPU,12.3,12.4,12.2,12.3,77191342.0
2023-01-20 09:00:00,SET:BANPU,12.4,12.7,12.3,12.7,193937283.0
2023-01-23 09:00:00,SET:BANPU,12.6,12.6,12.4,12.5,57961993.0
2023-01-24 09:00:00,SET:BANPU,12.5,12.6,12.4,12.5,35729821.0
2023-01-25 09:00:00,SET:BANPU,12.5,12.5,12.4,12.5,30894152.0
2023-01-26 09:00:00,SET:BANPU,12.3,12.3,12.0,12.3,160723910.0
2023-01-27 09:00:00,SET:BANPU,12.3,12.3,12.2,12.3,32876857.0
2023-01-30 09:00:00,SET:BANPU,12.2,12.3,12.0,12.0,168039598.0
2023-01-31 09:00:00,SET:BANPU,11.8,11.9,11.3,11.6,415903540.0
2023-02-01 09:00:00,SET:BANPU,11.5,11.7,11.5,11.6,101181571.0
2023-02-02 09:00:00,SET:BANPU,11.7,11.7,11.5,11.6,54666986.0
2023-02-03 09:00:00,SET:BANPU,11.6,11.6,11.4,11.5,95309751.0
2023-02-06 09:00:00,SET:BANPU,11.4,11.5,11.1,11.3,114777951.0
2023-02-07 09:00:00,SET:BANPU,11.3,11.5,11.2,11.2,161516144.0
2023-02-08 09:00:00,SET:BANPU,11.3,11.4,10.9,11.0,136003874.0
2023-02-09 09:00:00,SET:BANPU,11.0,11.1,10.7,10.9,93602764.0
2023-02-10 09:00:00,SET:BANPU,11.4,11.5,10.8,10.9,399453220.0
2023-02-13 09:00:00,SET:BANPU,11.0,11.2,10.9,11.1,90540091.0
2023-02-14 09:00:00,SET:BANPU,11.1,11.3,10.9,11.0,110882761.0
2023-02-15 09:00:00,SET:BANPU,11.0,11.2,10.9,11.0,108427354.0
2023-02-16 09:00:00,SET:BANPU,11.0,11.2,11.0,11.1,91249864.0
2023-02-17 09:00:00,SET:BANPU,11.1,11.1,10.9,10.9,59387401.0
2023-02-20 09:00:00,SET:BANPU,11.0,11.2,10.9,11.1,77033321.0
2023-02-21 09:00:00,SET:BANPU,11.2,11.3,11.1,11.3,125698504.0
2023-02-22 09:00:00,SET:BANPU,11.2,11.2,11.0,11.2,77378013.0
2023-02-23 09:00:00,SET:BANPU,11.0,11.4,10.8,11.3,232231875.0
2023-02-24 09:00:00,SET:BANPU,11.3,11.4,11.2,11.2,126287960.0
2023-02-27 09:00:00,SET:BANPU,11.3,11.5,11.1,11.2,131608175.0
2023-02-28 09:00:00,SET:BANPU,11.3,11.3,10.7,10.9,814092860.0
2023-03-01 09:00:00,SET:BANPU,10.9,11.0,10.7,10.8,115428167.0
