datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:DELTA,83.6,85.6,83.0,84.4,25545730.0
2023-01-17 09:00:00,SET:DELTA,84.4,85.2,83.8,84.2,14997410.0
2023-01-18 09:00:00,SET:DELTA,84.8,88.0,84.8,86.0,33429070.0
2023-01-19 09:00:00,SET:DELTA,85.0,87.0,85.0,86.2,19275860.0
2023-01-20 09:00:00,SET:DELTA,86.8,87.2,85.2,86.0,19108310.0
2023-01-23 09:00:00,SET:DELTA,86.6,89.4,86.2,89.0,28403270.0
2023-01-24 09:00:00,SET:DELTA,90.6,93.4,87.8,88.4,47452770.0
2023-01-25 09:00:00,SET:DELTA,89.2,90.2,88.6,89.4,18672130.0
2023-01-26 09:00:00,SET:DELTA,90.0,90.4,87.4,87.8,19552260.0
2023-01-27 09:00:00,SET:DELTA,88.4,88.6,87.2,87.2,11537440.0
2023-01-30 09:00:00,SET:DELTA,87.8,90.0,87.6,89.8,21567500.0
2023-01-31 09:00:00,SET:DELTA,90.8,91.8,89.4,90.0,33550420.0
2023-02-01 09:00:00,SET:DELTA,90.6,91.8,89.6,89.8,17720630.0
2023-02-02 09:00:00,SET:DELTA,90.8,94.4,90.4,91.6,34389420.0
2023-02-03 09:00:00,SET:DELTA,92.2,95.0,91.6,95.0,42813100.0
2023-02-06 09:00:00,SET:DELTA,95.0,96.0,93.2,95.0,26961830.0
2023-02-07 09:00:00,SET:DELTA,96.6,99.6,96.2,97.0,41321160.0
2023-02-08 09:00:00,SET:DELTA,97.6,97.8,93.0,93.0,27766830.0
2023-02-09 09:00:00,SET:DELTA,93.4,94.2,91.6,92.2,17697710.0
2023-02-10 09:00:00,SET:DELTA,92.0,93.4,89.0,89.6,24971090.0
2023-02-13 09:00:00,SET:DELTA,89.8,90.6,88.4,90.2,17183740.0
2023-02-14 09:00:00,SET:DELTA,90.8,92.4,87.8,88.0,29094690.0
2023-02-15 09:00:00,SET:DELTA,88.8,91.2,88.8,90.4,19451340.0
2023-02-16 09:00:00,SET:DELTA,93.4,98.8,93.0,97.6,71591040.0
2023-02-17 09:00:00,SET:DELTA,97.6,98.8,94.6,95.2,32231870.0
2023-02-20 09:00:00,SET:DELTA,96.2,96.4,95.0,95.8,8358110.0
2023-02-21 09:00:00,SET:DELTA,95.8,97.2,95.4,97.0,15303620.0
2023-02-22 09:00:00,SET:DELTA,96.6,98.0,96.0,96.6,11587070.0
2023-02-23 09:00:00,SET:DELTA,96.6,97.2,95.8,96.8,9568940.0
2023-02-24 09:00:00,SET:DELTA,97.0,97.4,93.6,94.2,17846590.0
2023-02-27 09:00:00,SET:DELTA,93.6,95.2,93.4,93.6,9791860.0
2023-02-28 09:00:00,SET:DELTA,94.0,94.8,91.0,91.2,20704000.0
2023-03-01 09:00:00,SET:DELTA,92.2,98.8,91.6,98.6,44765630.0
