datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:KTC,59.25,59.25,58.75,59.0,3237783.0
2023-01-17 09:00:00,SET:KTC,59.25,59.5,58.75,59.0,3582956.0
2023-01-18 09:00:00,SET:KTC,59.0,59.25,58.75,59.25,2363983.0
2023-01-19 09:00:00,SET:KTC,59.25,59.25,58.5,58.5,2272555.0
2023-01-20 09:00:00,SET:KTC,58.5,58.5,56.75,57.25,5431925.0
2023-01-23 09:00:00,SET:KTC,58.0,58.0,56.75,56.75,3945257.0
2023-01-24 09:00:00,SET:KTC,57.0,57.0,55.25,56.5,11252949.0
2023-01-25 09:00:00,SET:KTC,56.5,57.0,55.75,56.75,6290437.0
2023-01-26 09:00:00,SET:KTC,57.0,57.0,56.0,56.25,11553437.0
2023-01-27 09:00:00,SET:KTC,56.25,57.25,56.25,57.0,2906357.0
2023-01-30 09:00:00,SET:KTC,57.25,57.5,56.5,57.25,9454992.0
2023-01-31 09:00:00,SET:KTC,57.0,57.5,56.25,56.5,4646336.0
2023-02-01 09:00:00,SET:KTC,56.75,58.5,56.5,58.5,15268699.0
2023-02-02 09:00:00,SET:KTC,58.75,59.5,58.25,59.25,7364399.0
2023-02-03 09:00:00,SET:KTC,59.0,59.25,58.25,59.25,3081409.0
2023-02-06 09:00:00,SET:KTC,59.0,59.25,58.75,58.75,1572650.0
2023-02-07 09:00:00,SET:KTC,58.75,59.0,57.5,58.0,13144003.0
2023-02-08 09:00:00,SET:KTC,57.75,58.75,57.75,58.0,5206216.0
2023-02-09 09:00:00,SET:KTC,58.0,58.25,57.0,57.5,2981413.0
2023-02-10 09:00:00,SET:KTC,57.0,57.75,56.75,57.25,3339124.0
2023-02-13 09:00:00,SET:KTC,57.0,59.0,56.75,58.75,4732402.0
2023-02-14 09:00:00,SET:KTC,58.5,58.75,58.0,58.25,3561335.0
2023-02-15 09:00:00,SET:KTC,58.0,58.0,56.75,57.25,7724116.0
2023-02-16 09:00:00,SET:KTC,57.0,58.5,56.75,58.25,6659004.0
2023-02-17 09:00:00,SET:KTC,57.5,58.25,57.25,58.0,4978034.0
2023-02-20 09:00:00,SET:KTC,57.75,58.75,57.75,58.5,3641401.0
2023-02-21 09:00:00,SET:KTC,58.75,59.0,58.25,59.0,2819604.0
2023-02-22 09:00:00,SET:KTC,59.0,59.25,58.5,58.75,3116882.0
2023-02-23 09:00:00,SET:KTC,58.5,59.0,58.25,58.75,3014917.0
2023-02-24 09:00:00,SET:KTC,58.75,59.5,58.25,58.75,5590035.0
2023-02-27 09:00:00,SET:KTC,58.5,58.5,58.0,58.25,7839684.0
2023-02-28 09:00:00,SET:KTC,58.5,59.0,58.0,58.75,11033905.0
2023-03-01 09:00:00,SET:KTC,58.75,59.0,58.0,58.0,5305652.0
2023-03-02 09:00:00,SET:KTC,57.5,58.5,56.75,57.0,3996059.0
2023-03-03 09:00:00,SET:KTC,57.0,57.25,56.5,56.75,4541019.0
2023-03-07 09:00:00,SET:KTC,56.75,57.5,55.75,56.75,9464197.0
2023-03-08 09:00:00,SET:KTC,56.0,56.5,55.5,56.0,13825397.0
2023-03-09 09:00:00,SET:KTC,56.0,57.0,56.0,56.75,3906557.0
2023-03-10 09:00:00,SET:KTC,56.5,56.5,55.5,55.5,6086465.0
2023-03-13 09:00:00,SET:KTC,55.75,55.75,54.25,54.25,7015612.0
2023-03-14 09:00:00,SET:KTC,54.0,54.25,52.25,52.5,9725587.0
2023-03-15 09:00:00,SET:KTC,53.0,54.5,52.75,54.0,5156214.0
2023-03-16 09:00:00,SET:KTC,53.75,54.0,53.0,53.5,8487860.0
2023-03-17 09:00:00,SET:KTC,54.0,54.25,53.5,53.75,3659466.0
2023-03-20 09:00:00,SET:KTC,53.5,53.75,52.25,52.75,4178932.0
2023-03-21 09:00:00,SET:KTC,53.0,53.75,52.75,53.5,2710217.0
2023-03-22 09:00:00,SET:KTC,53.75,54.75,53.75,54.25,2783280.0
2023-03-23 09:00:00,SET:KTC,54.25,54.75,54.0,54.75,2790434.0
2023-03-24 09:00:00,SET:KTC,54.5,55.0,54.0,54.25,2610886.0
2023-03-27 09:00:00,SET:KTC,54.5,54.75,53.75,53.75,1866800.0
2023-03-28 09:00:00,SET:KTC,54.25,55.0,54.25,54.5,3825480.0
2023-03-29 09:00:00,SET:KTC,54.75,55.0,54.25,54.25,2564110.0
2023-03-30 09:00:00,SET:KTC,54.25,54.75,53.75,54.0,2006212.0
2023-03-31 09:00:00,SET:KTC,54.0,54.5,53.75,54.25,2397264.0
2023-04-03 09:00:00,SET:KTC,54.5,54.75,53.5,53.75,2172136.0
2023-04-04 09:00:00,SET:KTC,53.5,54.0,53.25,53.25,1992386.0
2023-04-05 09:00:00,SET:KTC,53.5,53.75,52.25,52.25,3397894.0
2023-04-07 09:00:00,SET:KTC,52.75,55.5,52.75,55.25,6125646.0
2023-04-10 09:00:00,SET:KTC,55.25,55.75,55.0,55.25,5305203.0
2023-04-11 09:00:00,SET:KTC,55.5,55.5,55.25,55.5,2201012.0
2023-04-12 09:00:00,SET:KTC,56.0,56.75,55.25,56.5,6721786.0
2023-04-17 09:00:00,SET:KTC,56.5,57.0,55.75,57.0,10977318.0
2023-04-18 09:00:00,SET:KTC,56.25,56.25,55.5,55.5,3765519.0
2023-04-19 09:00:00,SET:KTC,55.75,56.0,53.5,53.75,10101912.0
2023-04-20 09:00:00,SET:KTC,53.75,54.5,53.5,53.75,3268631.0
2023-04-21 09:00:00,SET:KTC,53.75,54.25,53.25,54.25,4171852.0
2023-04-24 09:00:00,SET:KTC,54.5,54.5,53.25,53.25,2271158.0
2023-04-25 09:00:00,SET:KTC,53.0,53.5,52.25,52.25,2684808.0
2023-04-26 09:00:00,SET:KTC,52.5,53.0,52.25,52.5,21088694.0
2023-04-27 09:00:00,SET:KTC,52.5,52.75,50.75,51.5,7757094.0
2023-04-28 09:00:00,SET:KTC,52.0,53.25,51.75,52.75,7544024.0
2023-05-02 09:00:00,SET:KTC,53.25,53.25,51.5,52.5,2800864.0
2023-05-03 09:00:00,SET:KTC,52.25,53.0,51.0,53.0,6538400.0
2023-05-08 09:00:00,SET:KTC,53.5,54.0,52.75,54.0,5471500.0
2023-05-09 09:00:00,SET:KTC,53.5,54.25,53.5,54.25,4431800.0
2023-05-10 09:00:00,SET:KTC,53.75,56.0,53.75,56.0,8259500.0
2023-05-11 09:00:00,SET:KTC,56.25,56.25,55.25,55.5,3688300.0
2023-05-12 09:00:00,SET:KTC,55.5,56.75,54.5,55.75,5123942.0
2023-05-15 09:00:00,SET:KTC,56.75,56.75,55.25,56.5,3465100.0
2023-05-16 09:00:00,SET:KTC,56.0,56.5,55.0,56.25,2904972.0
2023-05-17 09:00:00,SET:KTC,56.25,56.25,55.0,55.0,4216967.0
2023-05-18 09:00:00,SET:KTC,55.25,55.75,54.75,55.0,12319038.0
2023-05-19 09:00:00,SET:KTC,55.0,56.25,55.0,56.25,4122407.0
2023-05-22 09:00:00,SET:KTC,55.75,56.0,54.5,55.75,4224596.0
2023-05-23 09:00:00,SET:KTC,55.5,55.75,54.5,55.25,3584490.0
2023-05-24 09:00:00,SET:KTC,55.0,55.5,54.0,54.0,6151865.0
2023-05-25 09:00:00,SET:KTC,53.75,54.0,52.5,52.75,6085497.0
2023-05-26 09:00:00,SET:KTC,52.75,53.25,52.25,53.0,4074364.0
2023-05-29 09:00:00,SET:KTC,52.75,53.25,52.5,52.75,6934123.0
2023-05-30 09:00:00,SET:KTC,53.0,53.5,52.5,52.75,4020564.0
2023-05-31 09:00:00,SET:KTC,52.25,52.75,51.0,51.0,22333846.0
2023-06-01 09:00:00,SET:KTC,51.5,52.0,50.25,50.25,5171955.0
