datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:MTC,41.5,41.5,40.5,41.0,12698790.0
2023-01-17 09:00:00,SET:MTC,41.25,41.75,41.0,41.25,12139561.0
2023-01-18 09:00:00,SET:MTC,41.5,41.75,40.5,41.5,8080503.0
2023-01-19 09:00:00,SET:MTC,41.25,41.25,40.75,41.25,5227411.0
2023-01-20 09:00:00,SET:MTC,41.0,41.0,38.75,39.25,30494158.0
2023-01-23 09:00:00,SET:MTC,39.25,39.75,39.25,39.25,8469155.0
2023-01-24 09:00:00,SET:MTC,39.5,40.25,39.0,39.75,10433960.0
2023-01-25 09:00:00,SET:MTC,39.75,39.75,38.75,39.0,20245699.0
2023-01-26 09:00:00,SET:MTC,39.0,39.0,38.0,38.25,9588527.0
2023-01-27 09:00:00,SET:MTC,38.25,38.75,38.0,38.5,7016499.0
2023-01-30 09:00:00,SET:MTC,38.75,39.0,37.75,38.25,8580255.0
2023-01-31 09:00:00,SET:MTC,38.0,38.25,37.5,37.5,8137663.0
2023-02-01 09:00:00,SET:MTC,37.75,38.75,37.5,38.5,14726078.0
2023-02-02 09:00:00,SET:MTC,39.0,39.5,38.25,39.25,23418213.0
2023-02-03 09:00:00,SET:MTC,39.25,39.75,39.25,39.5,12405941.0
2023-02-06 09:00:00,SET:MTC,39.25,39.25,38.5,38.75,10912031.0
2023-02-07 09:00:00,SET:MTC,38.75,39.0,36.75,37.0,35140049.0
2023-02-08 09:00:00,SET:MTC,37.25,37.25,36.5,36.5,16187987.0
2023-02-09 09:00:00,SET:MTC,36.5,36.75,35.5,36.5,16428184.0
2023-02-10 09:00:00,SET:MTC,36.5,36.5,35.75,36.25,9559551.0
2023-02-13 09:00:00,SET:MTC,36.0,38.0,35.75,37.5,20610324.0
2023-02-14 09:00:00,SET:MTC,37.5,37.75,36.5,37.0,15231765.0
2023-02-15 09:00:00,SET:MTC,36.75,36.75,34.0,35.0,27387508.0
2023-02-16 09:00:00,SET:MTC,35.0,35.5,34.5,35.0,10258217.0
2023-02-17 09:00:00,SET:MTC,35.0,35.0,33.5,34.0,19588430.0
2023-02-20 09:00:00,SET:MTC,34.0,35.5,34.0,35.0,10248836.0
2023-02-21 09:00:00,SET:MTC,35.0,35.25,34.5,35.0,8039081.0
2023-02-22 09:00:00,SET:MTC,34.75,35.5,34.25,34.5,20971309.0
2023-02-23 09:00:00,SET:MTC,34.5,35.25,34.5,34.75,13383305.0
2023-02-24 09:00:00,SET:MTC,34.75,35.5,34.75,35.0,9865239.0
2023-02-27 09:00:00,SET:MTC,35.25,35.25,34.25,35.0,8920202.0
2023-02-28 09:00:00,SET:MTC,35.25,35.5,34.5,35.0,24190188.0
2023-03-01 09:00:00,SET:MTC,35.0,35.25,34.25,34.75,7381707.0
2023-03-02 09:00:00,SET:MTC,34.75,34.75,33.25,33.5,11631196.0
2023-03-03 09:00:00,SET:MTC,33.75,34.0,33.25,33.5,8725214.0
2023-03-07 09:00:00,SET:MTC,33.75,34.5,33.5,33.5,13263244.0
2023-03-08 09:00:00,SET:MTC,33.25,33.25,32.25,33.0,16749476.0
2023-03-09 09:00:00,SET:MTC,33.5,33.75,32.75,33.25,8473352.0
2023-03-10 09:00:00,SET:MTC,33.0,33.5,32.25,32.5,9955290.0
