datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:OSP,30.25,30.25,29.75,30.25,6018686.0
2023-01-17 09:00:00,SET:OSP,30.5,30.5,29.75,29.75,6754100.0
2023-01-18 09:00:00,SET:OSP,29.75,30.25,29.75,30.0,5870041.0
2023-01-19 09:00:00,SET:OSP,30.25,30.25,29.75,30.0,5419665.0
2023-01-20 09:00:00,SET:OSP,29.75,30.0,29.25,29.75,4855730.0
2023-01-23 09:00:00,SET:OSP,30.0,30.0,29.5,29.75,4172830.0
2023-01-24 09:00:00,SET:OSP,29.75,29.75,29.25,29.75,1772704.0
2023-01-25 09:00:00,SET:OSP,29.75,30.0,29.5,29.5,3776173.0
2023-01-26 09:00:00,SET:OSP,29.5,29.75,29.0,29.25,7875848.0
2023-01-27 09:00:00,SET:OSP,29.25,29.25,29.0,29.25,2318737.0
2023-01-30 09:00:00,SET:OSP,29.0,29.25,28.75,29.0,3371401.0
2023-01-31 09:00:00,SET:OSP,29.0,29.25,27.75,28.0,19266863.0
2023-02-01 09:00:00,SET:OSP,28.0,28.5,28.0,28.25,3247550.0
2023-02-02 09:00:00,SET:OSP,28.75,28.75,28.0,28.5,5435609.0
2023-02-03 09:00:00,SET:OSP,28.25,28.5,28.25,28.5,2396582.0
2023-02-06 09:00:00,SET:OSP,28.5,28.5,28.25,28.25,2554507.0
2023-02-07 09:00:00,SET:OSP,28.25,28.5,28.0,28.5,5471542.0
2023-02-08 09:00:00,SET:OSP,28.5,28.5,28.25,28.25,2828867.0
2023-02-09 09:00:00,SET:OSP,28.5,28.75,28.25,28.5,4883469.0
2023-02-10 09:00:00,SET:OSP,28.5,28.75,28.25,28.5,2426524.0
2023-02-13 09:00:00,SET:OSP,28.5,28.5,28.25,28.25,1322672.0
2023-02-14 09:00:00,SET:OSP,28.25,28.5,28.0,28.5,4651064.0
2023-02-15 09:00:00,SET:OSP,28.25,28.75,28.0,28.75,6417482.0
2023-02-16 09:00:00,SET:OSP,31.75,33.0,30.5,30.5,76360084.0
2023-02-17 09:00:00,SET:OSP,31.25,31.75,30.75,31.5,25089918.0
2023-02-20 09:00:00,SET:OSP,31.0,31.0,30.0,30.75,13910766.0
2023-02-21 09:00:00,SET:OSP,30.75,31.75,30.75,31.75,20567539.0
2023-02-22 09:00:00,SET:OSP,31.75,32.0,31.25,32.0,7949232.0
2023-02-23 09:00:00,SET:OSP,32.0,32.5,31.25,32.0,19786325.0
2023-02-24 09:00:00,SET:OSP,31.5,31.75,31.0,31.75,10462470.0
2023-02-27 09:00:00,SET:OSP,31.5,32.25,31.5,32.0,9607624.0
2023-02-28 09:00:00,SET:OSP,32.0,32.25,31.25,32.25,14581241.0
2023-03-01 09:00:00,SET:OSP,31.75,32.0,31.25,31.5,5839169.0
2023-03-02 09:00:00,SET:OSP,31.75,31.75,31.25,31.75,7018110.0
2023-03-03 09:00:00,SET:OSP,31.5,31.75,31.0,31.5,5901338.0
2023-03-07 09:00:00,SET:OSP,31.5,32.0,31.25,31.75,4101190.0
2023-03-08 09:00:00,SET:OSP,31.5,32.25,31.5,32.25,16640001.0
2023-03-09 09:00:00,SET:OSP,32.25,33.0,32.0,32.75,23029191.0
2023-03-10 09:00:00,SET:OSP,32.75,33.0,32.25,32.5,6421467.0
2023-03-13 09:00:00,SET:OSP,32.5,32.75,32.25,32.5,10758356.0
2023-03-14 09:00:00,SET:OSP,32.0,32.25,31.25,31.25,17085630.0
2023-03-15 09:00:00,SET:OSP,31.5,31.75,31.25,31.5,10543191.0
2023-03-16 09:00:00,SET:OSP,31.25,31.75,31.0,31.5,6606172.0
2023-03-17 09:00:00,SET:OSP,31.75,32.0,31.5,31.5,6879096.0
