datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:TOP,55.5,56.75,55.5,56.25,14134094.0
2023-01-17 09:00:00,SET:TOP,56.5,56.75,56.0,56.75,7014898.0
2023-01-18 09:00:00,SET:TOP,57.25,57.75,56.75,57.5,12935390.0
2023-01-19 09:00:00,SET:TOP,57.25,58.0,57.0,58.0,12423747.0
2023-01-20 09:00:00,SET:TOP,58.25,58.25,57.5,58.25,12260818.0
2023-01-23 09:00:00,SET:TOP,58.5,59.25,58.25,58.5,13237435.0
2023-01-24 09:00:00,SET:TOP,58.75,59.25,58.5,58.75,7791918.0
2023-01-25 09:00:00,SET:TOP,58.75,58.75,58.0,58.75,8621129.0
2023-01-26 09:00:00,SET:TOP,58.75,58.75,57.5,58.0,8178548.0
2023-01-27 09:00:00,SET:TOP,58.25,60.25,58.25,60.25,17013211.0
2023-01-30 09:00:00,SET:TOP,59.5,60.0,59.0,59.75,9697168.0
2023-01-31 09:00:00,SET:TOP,59.5,59.75,57.75,57.75,13123005.0
2023-02-01 09:00:00,SET:TOP,58.0,59.0,58.0,58.5,9114610.0
2023-02-02 09:00:00,SET:TOP,58.5,58.5,57.25,57.75,10623194.0
2023-02-03 09:00:00,SET:TOP,57.75,58.0,56.75,57.25,12427477.0
2023-02-06 09:00:00,SET:TOP,56.75,57.5,56.75,57.25,5025544.0
2023-02-07 09:00:00,SET:TOP,57.5,58.0,56.75,57.0,9125904.0
2023-02-08 09:00:00,SET:TOP,57.5,58.5,57.0,57.25,12358616.0
2023-02-09 09:00:00,SET:TOP,57.25,57.5,56.0,56.5,13712807.0
2023-02-10 09:00:00,SET:TOP,56.5,56.75,55.75,56.25,8698667.0
2023-02-13 09:00:00,SET:TOP,56.75,58.0,56.75,57.5,10383295.0
2023-02-14 09:00:00,SET:TOP,57.75,58.5,57.0,57.25,13076591.0
2023-02-15 09:00:00,SET:TOP,57.0,57.25,56.25,56.5,6664155.0
2023-02-16 09:00:00,SET:TOP,56.75,57.0,56.0,56.5,9311132.0
2023-02-17 09:00:00,SET:TOP,56.5,57.25,55.5,56.75,11746729.0
2023-02-20 09:00:00,SET:TOP,57.25,57.5,56.75,56.75,3046558.0
2023-02-21 09:00:00,SET:TOP,57.0,57.0,56.25,57.0,8551152.0
2023-02-22 09:00:00,SET:TOP,56.75,57.25,56.0,56.25,13689026.0
2023-02-23 09:00:00,SET:TOP,54.5,55.0,53.0,53.25,20001639.0
2023-02-24 09:00:00,SET:TOP,53.25,53.25,52.0,52.0,21182318.0
2023-02-27 09:00:00,SET:TOP,51.75,52.0,51.5,51.75,11353558.0
2023-02-28 09:00:00,SET:TOP,52.0,52.0,49.75,50.5,41226879.0
2023-03-01 09:00:00,SET:TOP,51.5,51.75,50.75,51.25,7914659.0
2023-03-02 09:00:00,SET:TOP,51.75,53.25,51.75,52.75,16177051.0
2023-03-03 09:00:00,SET:TOP,52.75,53.25,52.5,53.25,5854646.0
2023-03-07 09:00:00,SET:TOP,53.25,53.75,52.25,52.5,8553426.0
2023-03-08 09:00:00,SET:TOP,51.25,52.25,51.0,52.25,12869424.0
2023-03-09 09:00:00,SET:TOP,52.5,53.5,52.0,52.5,13778720.0
2023-03-10 09:00:00,SET:TOP,52.0,52.75,52.0,52.25,4462678.0
2023-03-13 09:00:00,SET:TOP,52.0,53.5,51.75,52.25,10471914.0
2023-03-14 09:00:00,SET:TOP,52.0,52.75,50.75,50.75,12556723.0
2023-03-15 09:00:00,SET:TOP,51.0,52.0,51.0,51.5,6732915.0
2023-03-16 09:00:00,SET:TOP,50.75,51.0,48.25,48.75,29504620.0
2023-03-17 09:00:00,SET:TOP,49.5,50.25,49.0,50.0,15575627.0
2023-03-20 09:00:00,SET:TOP,49.5,50.0,48.5,49.25,9328282.0
2023-03-21 09:00:00,SET:TOP,49.75,50.0,49.0,49.75,8858411.0
2023-03-22 09:00:00,SET:TOP,50.5,51.5,50.25,51.5,9975892.0
2023-03-23 09:00:00,SET:TOP,51.5,52.25,51.0,51.75,7444404.0
